gfs.t00z.pgrb2.0p25.f000
shortName    name         level        typeOfLevel  
gh           Geopotential height  0            tropopause  
t            Temperature  0            tropopause  
u            U component of wind  0            tropopause  
v            V component of wind  0            tropopause  
vwsh         Vertical speed shear  0            tropopause  
pres         Pressure     0            maxWind     
icaht        ICAO Standard Atmosphere reference height  0            maxWind     
gh           Geopotential height  0            maxWind     
u            U component of wind  0            maxWind     
v            V component of wind  0            maxWind     
t            Temperature  0            maxWind     
u            U component of wind  20           heightAboveGround 
v            V component of wind  20           heightAboveGround 
u            U component of wind  30           heightAboveGround 
v            V component of wind  30           heightAboveGround 
u            U component of wind  40           heightAboveGround 
v            V component of wind  40           heightAboveGround 
u            U component of wind  50           heightAboveGround 
v            V component of wind  50           heightAboveGround 
t            Temperature  80           heightAboveGround 
q            Specific humidity  80           heightAboveGround 
pres         Pressure     80           heightAboveGround 
u            U component of wind  80           heightAboveGround 
v            V component of wind  80           heightAboveGround 
t            Temperature  100          heightAboveGround 
100u         100 metre U wind component  100          heightAboveGround 
100v         100 metre V wind component  100          heightAboveGround 
t            Temperature  1829         heightAboveSea 
u            U component of wind  1829         heightAboveSea 
v            V component of wind  1829         heightAboveSea 
t            Temperature  2743         heightAboveSea 
u            U component of wind  2743         heightAboveSea 
v            V component of wind  2743         heightAboveSea 
t            Temperature  3658         heightAboveSea 
u            U component of wind  3658         heightAboveSea 
v            V component of wind  3658         heightAboveSea 
gh           Geopotential height  0            isothermZero 
r            Relative humidity  0            isothermZero 
gh           Geopotential height  0            highestTroposphericFreezing 
r            Relative humidity  0            highestTroposphericFreezing 
t            Temperature  3000         pressureFromGroundLayer 
r            Relative humidity  3000         pressureFromGroundLayer 
q            Specific humidity  3000         pressureFromGroundLayer 
u            U component of wind  3000         pressureFromGroundLayer 
v            V component of wind  3000         pressureFromGroundLayer 
4lftx        Best (4-layer) lifted index  0            surface     
cape         Convective available potential energy  18000        pressureFromGroundLayer 
cin          Convective inhibition  18000        pressureFromGroundLayer 
unknown      unknown      0            surface     
r            Relative humidity  0            sigmaLayer  
r            Relative humidity  0            sigmaLayer  
r            Relative humidity  1            sigmaLayer  
r            Relative humidity  0            sigmaLayer  
t            Temperature  1            sigma       
pt           Potential temperature  1            sigma       
r            Relative humidity  1            sigma       
u            U component of wind  1            sigma       
v            V component of wind  1            sigma       
w            Vertical velocity  1            sigma       
cape         Convective available potential energy  25500        pressureFromGroundLayer 
cin          Convective inhibition  25500        pressureFromGroundLayer 
plpl         Pressure of level from which parcel was lifted  25500        pressureFromGroundLayer 
lsm          Land-sea mask  0            surface     
ci           Sea ice area fraction  0            surface     
u            U component of wind  2000         potentialVorticity 
v            V component of wind  2000         potentialVorticity 
t            Temperature  2000         potentialVorticity 
gh           Geopotential height  2000         potentialVorticity 
pres         Pressure     2000         potentialVorticity 
vwsh         Vertical speed shear  2000         potentialVorticity 
u            U component of wind  2147485648   potentialVorticity 
v            V component of wind  2147485648   potentialVorticity 
t            Temperature  2147485648   potentialVorticity 
gh           Geopotential height  2147485648   potentialVorticity 
pres         Pressure     2147485648   potentialVorticity 
vwsh         Vertical speed shear  2147485648   potentialVorticity 
prmsl        Pressure reduced to MSL  0            meanSea     
5wavh        5-wave geopotential height  500          isobaricInhPa 
landn        Land-sea coverage (nearest neighbor) [land=1,sea=0]  0            surface     
522 of 522 messages in gfs.t00z.pgrb2.0p25.f000

522 of 522 total messages in 1 files
